18.963,122.618
27.139,182.312
4.947,37.275
34.058,281.987
32.039,256.144
11.101,75.286
31.356,236.291
26.302,194.237
28.877,204.902
24.004,164.684
33.899,270.175
2.522,17.056
22.688,146.833
10.893,67.106
36.146,279.557
13.135,93.366
5.623,35.491
5.964,38.561
4.225,28.764
16.524,116.221
12.661,79.189
3.342,22.982
32.446,248.636
14.285,102.987
38.937,301.079
26.746,204.836
22.123,151.513
21.044,139.478
17.165,118.139
29.744,229.474
31.483,243.299
3.868,26.111
5.246,35.193
35.518,275.129
23.532,179.492
23.867,173.619
23.768,175.283
9.015,61.915
26.085,188.787
8.965,65.458
14.593,105.277
9.301,62.304
30.235,233.707
8.792,59.341
21.733,153.888
18.424,123.994
24.249,174.032
14.617,104.184
16.227,117.731
21.711,152.489
36.777,285.054
33.401,264.998
25.407,186.969
29.299,222.827
13.54,94.406
33.154,256.359
4.408,30.212
3.739,26.386
15.928,113.596
34.441,272.791
11.029,76.898
35.26,279.913
26.17,190.432
20.688,146.157
21.12,152.84
26.899,204.978
14.813,104.739
28.839,216.842
36.637,290.16
31.103,237.345
25.821,196.016
15.368,107.487
21.044,143.079
19.896,135.835
35.636,275.864
4.073,27.719
26.91,203.646
11.661,85.114
20.382,142.216
16.778,122.758
14.706,104.173
12.393,83.905
21.903,155.607
5.749,38.36
5.055,32.795
13.28,92.958
33.613,263.204
15.337,114.343
22.126,155.426
34.305,265.308
25.112,193.33
20.077,142.547
28.732,215.0
